Date,Open,High,Low,Close,Adj Close,Volume
2021-04-30,1270.000000,1325.000000,1240.000000,1300.000000,1300.000000,2837000
2021-05-03,1300.000000,1330.000000,1210.000000,1260.000000,1260.000000,3440400
2021-05-04,1265.000000,1340.000000,1260.000000,1305.000000,1305.000000,4660100
2021-05-05,1315.000000,1385.000000,1315.000000,1340.000000,1340.000000,4302000
2021-05-06,1340.000000,1360.000000,1295.000000,1340.000000,1340.000000,1529900
2021-05-07,1360.000000,1370.000000,1305.000000,1310.000000,1310.000000,1916900
2021-05-10,1305.000000,1340.000000,1280.000000,1285.000000,1285.000000,1518100
2021-05-11,1285.000000,1330.000000,1280.000000,1295.000000,1295.000000,1724000
2021-05-17,1300.000000,1330.000000,1205.000000,1205.000000,1205.000000,2558200
2021-05-18,1205.000000,1205.000000,1125.000000,1125.000000,1125.000000,3011100
2021-05-19,1125.000000,1125.000000,1060.000000,1065.000000,1065.000000,1446800
2021-05-20,1095.000000,1095.000000,1005.000000,1040.000000,1040.000000,845200
2021-05-21,1040.000000,1300.000000,1040.000000,1300.000000,1300.000000,8470800
2021-05-24,1345.000000,1450.000000,1220.000000,1370.000000,1370.000000,12305700
2021-05-25,1370.000000,1400.000000,1285.000000,1305.000000,1305.000000,3486200
2021-05-27,1305.000000,1380.000000,1290.000000,1310.000000,1310.000000,1756900
2021-05-28,1320.000000,1360.000000,1280.000000,1310.000000,1310.000000,4865000
2021-05-31,1325.000000,1380.000000,1265.000000,1360.000000,1360.000000,3313500
2021-06-02,1370.000000,1380.000000,1300.000000,1320.000000,1320.000000,1738500
2021-06-03,1325.000000,1330.000000,1280.000000,1310.000000,1310.000000,1311400
2021-06-04,1310.000000,1320.000000,1285.000000,1290.000000,1290.000000,914700
2021-06-07,1290.000000,1445.000000,1285.000000,1350.000000,1350.000000,8960500
2021-06-08,1360.000000,1555.000000,1360.000000,1435.000000,1435.000000,14663700
2021-06-09,1450.000000,1555.000000,1435.000000,1550.000000,1550.000000,8265900
2021-06-10,1570.000000,1935.000000,1570.000000,1935.000000,1935.000000,22267500
2021-06-11,2010.000000,2300.000000,1840.000000,1990.000000,1990.000000,20701000
2021-06-14,1995.000000,2140.000000,1940.000000,1950.000000,1950.000000,4223000
2021-06-15,1970.000000,2040.000000,1815.000000,1815.000000,1815.000000,3655100
2021-06-16,1750.000000,1795.000000,1690.000000,1690.000000,1690.000000,4321700
2021-06-17,1600.000000,1820.000000,1575.000000,1790.000000,1790.000000,8318800
2021-06-18,1800.000000,2100.000000,1735.000000,1880.000000,1880.000000,15255100
2021-06-21,1900.000000,2350.000000,1880.000000,2350.000000,2350.000000,51751500
2021-06-22,2500.000000,2640.000000,2190.000000,2320.000000,2320.000000,27485900
2021-06-23,2450.000000,2610.000000,2320.000000,2600.000000,2600.000000,15720100
2021-06-24,2610.000000,3250.000000,2610.000000,3250.000000,3250.000000,40249400
2021-06-25,1242.179199,1353.752197,1164.078125,1193.830933,1193.830933,91111574
2021-06-28,1197.550049,1212.426392,1112.010742,1112.010742,1112.010742,11162917
2021-06-29,1052.505127,1052.505127,1037.628784,1037.628784,1037.628784,3023312
2021-06-30,1000.437744,1204.988159,966.965820,1201.269165,1201.269165,71187664
2021-07-01,1201.269165,1290.527466,1156.639893,1175.235352,1175.235352,35164696
2021-07-02,1178.954468,1301.684814,1175.235352,1286.808350,1286.808350,38246356
2021-07-05,1297.965698,1606.650879,1297.965698,1606.650879,1606.650879,92818707
2021-07-06,1636.403687,1952.527222,1636.403687,1859.549683,1859.549683,86342408
2021-07-07,1859.549683,1896.740723,1729.381226,1733.100342,1733.100342,38041736
2021-07-08,1733.100342,1855.830566,1614.089111,1736.819458,1736.819458,29193089
2021-07-09,1735.000000,2160.000000,1735.000000,2160.000000,2160.000000,700100
2021-07-12,2450.000000,2700.000000,2450.000000,2700.000000,2700.000000,12823000
2021-07-13,2890.000000,3340.000000,2890.000000,3220.000000,3220.000000,24057800
2021-07-14,3260.000000,3730.000000,3000.000000,3000.000000,3000.000000,16582200
2021-07-15,2790.000000,2790.000000,2790.000000,2790.000000,2790.000000,1062700
2021-07-16,2600.000000,3070.000000,2600.000000,2720.000000,2720.000000,95732200
2021-07-19,2680.000000,2780.000000,2560.000000,2590.000000,2590.000000,26265100
2021-07-21,2600.000000,2880.000000,2470.000000,2790.000000,2790.000000,48641000
2021-07-22,2820.000000,2980.000000,2600.000000,2660.000000,2660.000000,43557100
2021-07-23,2660.000000,2760.000000,2560.000000,2620.000000,2620.000000,14269500
2021-07-26,2660.000000,2820.000000,2650.000000,2730.000000,2730.000000,18833400
2021-07-27,2760.000000,2780.000000,2650.000000,2720.000000,2720.000000,9222900
2021-07-28,2750.000000,2810.000000,2700.000000,2720.000000,2720.000000,12640900
2021-07-29,2730.000000,2770.000000,2650.000000,2710.000000,2710.000000,9922500
2021-07-30,2750.000000,2860.000000,2700.000000,2720.000000,2720.000000,20381200
2021-08-02,2720.000000,2760.000000,2670.000000,2690.000000,2690.000000,9134600
2021-08-03,2710.000000,2750.000000,2670.000000,2700.000000,2700.000000,9396500
2021-08-04,2720.000000,3160.000000,2700.000000,3100.000000,3100.000000,62420900
2021-08-05,3150.000000,3200.000000,2890.000000,2940.000000,2940.000000,34756600
2021-08-06,2940.000000,3050.000000,2850.000000,2910.000000,2910.000000,14315200
2021-08-09,2890.000000,2980.000000,2720.000000,2750.000000,2750.000000,13778000
2021-08-10,2700.000000,2810.000000,2560.000000,2560.000000,2560.000000,17723800
2021-08-12,2520.000000,2670.000000,2400.000000,2530.000000,2530.000000,8110600
2021-08-13,2530.000000,2590.000000,2460.000000,2500.000000,2500.000000,3844900
2021-08-16,2520.000000,2520.000000,2330.000000,2350.000000,2350.000000,10203900
2021-08-18,2350.000000,2350.000000,2190.000000,2190.000000,2190.000000,9725400
2021-08-19,2160.000000,2300.000000,2040.000000,2090.000000,2090.000000,7855100
2021-08-20,2100.000000,2410.000000,2020.000000,2270.000000,2270.000000,9689600
2021-08-23,2300.000000,2400.000000,2240.000000,2320.000000,2320.000000,6494000
2021-08-24,2320.000000,2380.000000,2290.000000,2350.000000,2350.000000,2690100
2021-08-25,2390.000000,2500.000000,2320.000000,2340.000000,2340.000000,6912800
2021-08-26,2350.000000,2360.000000,2250.000000,2300.000000,2300.000000,3256200
2021-08-27,2300.000000,2340.000000,2200.000000,2230.000000,2230.000000,2295000
2021-08-30,2230.000000,2300.000000,2170.000000,2210.000000,2210.000000,1940000
2021-08-31,2210.000000,2250.000000,2180.000000,2250.000000,2250.000000,1802100
2021-09-01,2270.000000,2310.000000,2220.000000,2220.000000,2220.000000,2038600
2021-09-02,2220.000000,2240.000000,2170.000000,2170.000000,2170.000000,1982400
2021-09-03,2180.000000,2220.000000,2080.000000,2190.000000,2190.000000,2611100
2021-09-06,2230.000000,2250.000000,2180.000000,2180.000000,2180.000000,2048200
2021-09-07,2180.000000,2200.000000,2150.000000,2160.000000,2160.000000,1648100
2021-09-08,2160.000000,2180.000000,2120.000000,2120.000000,2120.000000,1441400
2021-09-09,2150.000000,2330.000000,2150.000000,2270.000000,2270.000000,8279200
2021-09-10,2280.000000,2830.000000,2270.000000,2830.000000,2830.000000,47533400
2021-09-13,3000.000000,3530.000000,2970.000000,3530.000000,3530.000000,39870400
2021-09-14,3800.000000,4390.000000,3550.000000,3720.000000,3720.000000,71875500
2021-09-15,3710.000000,3750.000000,3460.000000,3470.000000,3470.000000,22083700
2021-09-16,3470.000000,3990.000000,3470.000000,3620.000000,3620.000000,17242100
2021-09-17,3630.000000,3730.000000,3530.000000,3600.000000,3600.000000,5626200
2021-09-20,3610.000000,3670.000000,3510.000000,3550.000000,3550.000000,4801000
2021-09-21,3550.000000,3590.000000,3450.000000,3500.000000,3500.000000,4639500
2021-09-22,3530.000000,3950.000000,3510.000000,3750.000000,3750.000000,16874800
2021-09-23,3760.000000,3900.000000,3710.000000,3850.000000,3850.000000,6847400
2021-09-24,3890.000000,4100.000000,3770.000000,4010.000000,4010.000000,16981000
2021-09-27,3980.000000,4030.000000,3820.000000,3870.000000,3870.000000,6575000
2021-09-28,3870.000000,3870.000000,3710.000000,3710.000000,3710.000000,4303000
2021-09-29,3700.000000,3860.000000,3600.000000,3770.000000,3770.000000,2484300
2021-09-30,3790.000000,3860.000000,3750.000000,3750.000000,3750.000000,2191200
2021-10-01,3750.000000,3810.000000,3680.000000,3770.000000,3770.000000,1546600
2021-10-04,3800.000000,3800.000000,3620.000000,3660.000000,3660.000000,3804700
2021-10-05,3670.000000,3700.000000,3560.000000,3580.000000,3580.000000,3432600
2021-10-06,3580.000000,3780.000000,3530.000000,3670.000000,3670.000000,2616800
2021-10-07,3700.000000,3920.000000,3700.000000,3820.000000,3820.000000,5808000
2021-10-08,3820.000000,3920.000000,3730.000000,3800.000000,3800.000000,2756900
2021-10-11,3800.000000,3850.000000,3680.000000,3750.000000,3750.000000,3431200
2021-10-12,3750.000000,4400.000000,3730.000000,4210.000000,4210.000000,16743000
2021-10-13,4330.000000,4500.000000,4120.000000,4260.000000,4260.000000,10221900
2021-10-14,4210.000000,5000.000000,4210.000000,4900.000000,4900.000000,12670000
2021-10-15,4950.000000,5100.000000,4780.000000,4900.000000,4900.000000,8235400
2021-10-18,4900.000000,4900.000000,4560.000000,4590.000000,4590.000000,7906400
2021-10-19,4590.000000,4830.000000,4330.000000,4830.000000,4830.000000,8004300
2021-10-21,4900.000000,6025.000000,4870.000000,6025.000000,6025.000000,18707600
2021-10-22,6350.000000,6600.000000,5625.000000,5625.000000,5625.000000,12576400
2021-10-25,5625.000000,6100.000000,5625.000000,5825.000000,5825.000000,5073200
2021-10-26,5900.000000,6350.000000,5700.000000,6075.000000,6075.000000,6656500
2021-10-27,6150.000000,6200.000000,5900.000000,5975.000000,5975.000000,2306600
2021-10-28,5975.000000,6275.000000,5900.000000,5950.000000,5950.000000,2844500
2021-10-29,5950.000000,6075.000000,5900.000000,6000.000000,6000.000000,1956500
2021-11-01,6025.000000,6075.000000,5900.000000,5900.000000,5900.000000,1357300
2021-11-02,5900.000000,6100.000000,5900.000000,5950.000000,5950.000000,1521900
2021-11-03,5950.000000,6800.000000,5900.000000,6525.000000,6525.000000,10269800
2021-11-04,6575.000000,7175.000000,6450.000000,7000.000000,7000.000000,10677400
2021-11-05,7025.000000,7175.000000,6800.000000,6900.000000,6900.000000,4934700
2021-11-08,6900.000000,7950.000000,6900.000000,7600.000000,7600.000000,9584700
2021-11-09,7675.000000,7975.000000,7425.000000,7625.000000,7625.000000,6125900
2021-11-10,7650.000000,7875.000000,7500.000000,7550.000000,7550.000000,3372800
2021-11-11,7550.000000,7750.000000,7550.000000,7625.000000,7625.000000,1385900
2021-11-12,7625.000000,7800.000000,7575.000000,7625.000000,7625.000000,2154900
2021-11-15,7650.000000,8100.000000,7600.000000,7750.000000,7750.000000,7319300
2021-11-16,7775.000000,7975.000000,7650.000000,7875.000000,7875.000000,2454800
2021-11-17,7875.000000,8175.000000,7850.000000,7975.000000,7975.000000,3799400
2021-11-18,8000.000000,8000.000000,7800.000000,7825.000000,7825.000000,2417300
2021-11-19,7825.000000,8275.000000,7825.000000,8025.000000,8025.000000,4584500
2021-11-22,8025.000000,8050.000000,7825.000000,7875.000000,7875.000000,1837200
2021-11-23,7875.000000,7950.000000,7325.000000,7325.000000,7325.000000,3482100
2021-11-24,6900.000000,7500.000000,6825.000000,6950.000000,6950.000000,10177100
2021-11-25,6950.000000,7100.000000,6475.000000,6550.000000,6550.000000,12951400
2021-11-26,6550.000000,6725.000000,6275.000000,6425.000000,6425.000000,4083600
2021-11-29,6425.000000,6875.000000,6275.000000,6800.000000,6800.000000,4887800
2021-11-30,6850.000000,7450.000000,6575.000000,6900.000000,6900.000000,11693400
2021-12-01,6900.000000,7125.000000,6700.000000,6950.000000,6950.000000,2239700
2021-12-02,6900.000000,7050.000000,6800.000000,6825.000000,6825.000000,4979400
2021-12-03,6900.000000,6950.000000,6700.000000,6700.000000,6700.000000,1734800
2021-12-06,6700.000000,7075.000000,6600.000000,6950.000000,6950.000000,2614500
2021-12-07,7000.000000,7975.000000,6900.000000,7700.000000,7700.000000,11845700
2021-12-08,7000.000000,8050.000000,7500.000000,7675.000000,7675.000000,5590500
2021-12-09,7700.000000,7850.000000,7625.000000,7675.000000,7675.000000,1683100
2021-12-10,7700.000000,8050.000000,7675.000000,7975.000000,7975.000000,4976500
2021-12-13,7975.000000,8125.000000,7675.000000,7875.000000,7875.000000,4066200
2021-12-14,7975.000000,7975.000000,7325.000000,7375.000000,7375.000000,7207300
2021-12-15,7375.000000,7425.000000,6950.000000,6950.000000,6950.000000,5035800
2021-12-16,6900.000000,7325.000000,6475.000000,7225.000000,7225.000000,10069000
2021-12-17,7250.000000,7300.000000,7025.000000,7225.000000,7225.000000,1673900
2021-12-20,7200.000000,7200.000000,6825.000000,6850.000000,6850.000000,2410000
2021-12-21,6850.000000,7025.000000,6800.000000,7000.000000,7000.000000,1324100
2021-12-22,7025.000000,7075.000000,6850.000000,6875.000000,6875.000000,1400200
2021-12-23,6875.000000,6975.000000,6600.000000,6675.000000,6675.000000,2542300
2021-12-24,6675.000000,7100.000000,6675.000000,6925.000000,6925.000000,1659600
2021-12-27,7000.000000,7075.000000,6900.000000,6925.000000,6925.000000,4233300
2021-12-28,3873.906982,4111.655762,3873.906982,3957.818359,3957.818359,5502057
2021-12-29,3985.788818,3999.773926,3887.892090,3929.847900,3929.847900,1702511
2021-12-30,3957.818359,3971.803467,3845.936523,3957.818359,3957.818359,2999594
2022-01-03,3957.818359,4419.330566,3957.818359,4419.330566,4419.330566,15821877
2022-01-04,4559.183105,4992.725098,4475.271484,4922.798828,4922.798828,28203696
2022-01-05,4922.798828,5594.089355,4922.798828,5426.266602,5426.266602,42198824
2022-01-06,5482.207520,5622.060059,5146.562500,5454.237305,5454.237305,22033076
2022-01-07,5482.207520,5733.941895,5370.326172,5678.000977,5678.000977,30229762
2022-01-10,5700.000000,6800.000000,5700.000000,6800.000000,6800.000000,36388400
2022-01-11,7000.000000,8100.000000,7000.000000,7300.000000,7300.000000,41368500
2022-01-12,7300.000000,7725.000000,6800.000000,6800.000000,6800.000000,24411900
2022-01-13,6800.000000,6825.000000,6325.000000,6475.000000,6475.000000,22605500
2022-01-14,6450.000000,6725.000000,6025.000000,6025.000000,6025.000000,26890800
2022-01-17,6025.000000,6050.000000,5625.000000,5625.000000,5625.000000,14208400
2022-01-18,5650.000000,5875.000000,5250.000000,5875.000000,5875.000000,39834700
2022-01-19,6100.000000,6225.000000,5700.000000,5750.000000,5750.000000,28738700
2022-01-20,5750.000000,5800.000000,5500.000000,5525.000000,5525.000000,13259500
2022-01-21,5550.000000,6125.000000,5525.000000,6100.000000,6100.000000,21799200
2022-01-24,6300.000000,6300.000000,5800.000000,5925.000000,5925.000000,17982900
2022-01-25,5950.000000,5950.000000,5600.000000,5650.000000,5650.000000,8881700
2022-01-26,5625.000000,5825.000000,5600.000000,5700.000000,5700.000000,5304500
2022-01-27,5700.000000,5975.000000,5625.000000,5650.000000,5650.000000,11153400
2022-01-28,5700.000000,5725.000000,5525.000000,5550.000000,5550.000000,6178500
2022-01-31,5550.000000,5750.000000,5275.000000,5600.000000,5600.000000,9220000
2022-02-02,5650.000000,5875.000000,5600.000000,5750.000000,5750.000000,8718400
2022-02-03,5775.000000,5800.000000,5625.000000,5625.000000,5625.000000,4022100
2022-02-04,5650.000000,5700.000000,5600.000000,5600.000000,5600.000000,3813000
2022-02-07,5600.000000,5650.000000,5425.000000,5500.000000,5500.000000,7505000
2022-02-08,5525.000000,5800.000000,5425.000000,5575.000000,5575.000000,8219200
2022-02-09,5600.000000,5650.000000,5475.000000,5525.000000,5525.000000,7129900
2022-02-10,5525.000000,5650.000000,5475.000000,5650.000000,5650.000000,6922800
2022-02-11,5750.000000,5750.000000,5525.000000,5650.000000,5650.000000,3989300
2022-02-14,5650.000000,5675.000000,5500.000000,5550.000000,5550.000000,3430600
2022-02-15,5550.000000,5625.000000,5525.000000,5550.000000,5550.000000,2996800
2022-02-16,5575.000000,5600.000000,5525.000000,5525.000000,5525.000000,2314600
2022-02-17,5525.000000,5600.000000,5475.000000,5500.000000,5500.000000,4047600
2022-02-18,5500.000000,5900.000000,5400.000000,5825.000000,5825.000000,12781200
2022-02-21,5825.000000,6050.000000,5700.000000,5750.000000,5750.000000,13146400
2022-02-22,5750.000000,5800.000000,5550.000000,5575.000000,5575.000000,4662600
2022-02-23,5575.000000,5750.000000,5525.000000,5700.000000,5700.000000,5067200
2022-02-24,5700.000000,5725.000000,5325.000000,5325.000000,5325.000000,13848000
2022-02-25,5550.000000,5550.000000,5075.000000,5450.000000,5450.000000,9042600
2022-03-01,5450.000000,5700.000000,5450.000000,5600.000000,5600.000000,6940600
2022-03-02,5600.000000,5675.000000,5450.000000,5575.000000,5575.000000,5512700
2022-03-04,5575.000000,5600.000000,5475.000000,5500.000000,5500.000000,3330800
2022-03-07,5450.000000,5550.000000,5275.000000,5300.000000,5300.000000,6120800
2022-03-08,5300.000000,5400.000000,5125.000000,5125.000000,5125.000000,8260500
2022-03-09,5150.000000,5225.000000,4770.000000,5025.000000,5025.000000,11066400
2022-03-10,5050.000000,5100.000000,4820.000000,5000.000000,5000.000000,3886700
2022-03-11,4990.000000,5050.000000,4910.000000,4980.000000,4980.000000,4139000
2022-03-14,4980.000000,5000.000000,4880.000000,4940.000000,4940.000000,2431700
2022-03-15,4940.000000,5175.000000,4940.000000,4980.000000,4980.000000,7812800
2022-03-16,5025.000000,5350.000000,4990.000000,5250.000000,5250.000000,4094000
2022-03-17,5275.000000,5325.000000,5125.000000,5150.000000,5150.000000,2146500
2022-03-18,5150.000000,5450.000000,4980.000000,5425.000000,5425.000000,6751000
2022-03-21,5425.000000,5525.000000,5325.000000,5375.000000,5375.000000,2250700
